/src/LA_map_unlabeled.png
28,20
ff111,tt100,ft210,ff203,ff203,ff302,ff003,ff302,ff003,ff002,ff002,ff003,ff003,ff003,ff003,ff002,ff001,ff001,ff001,ff001
ff112,tt110,ft111,ff302,ff302,ff003,ff021,ff021,ff021,ff003,ff003,ff003,ff003,ff003,ff003,ff003,ff002,ff002,ff001,ff001
ff112,ft020,tt120,ff012,ff021,ff021,ff003,ff003,ff021,ff021,ff021,ff003,ff003,ff003,ff003,ff003,ff003,ff003,ff002,ff002
ff003,ff003,ff012,tf021,tt020,ff021,ff012,ff003,ff202,ff202,ff003,ff202,ff002,ff002,ff002,ff002,ff002,ff002,ff001,ff001
ff002,ff002,ff003,ff003,ff021,tf021,tf021,ff003,ff003,ff003,ff003,ff003,ff003,ff002,ff002,ff001,ff001,ff001,ff001,ff001
ff001,ff001,ff002,ff003,ff003,ff012,tf020,ff002,ff202,ff302,ff202,ff202,ff202,ff003,ff003,ff002,ff002,ff001,ff001,ff001
ff001,ff001,ff001,ff001,ff002,ff003,tf012,ff022,tt120,tt120,ft020,ft020,ff201,ff202,ff003,ff003,ff002,ff002,ff001,ff001
ff001,ff001,ff001,ff001,ff002,ff002,ff003,ff102,ff302,tt120,ft120,ft020,tt120,tt200,ff201,ff201,ff003,ff002,ff002,ff001
ff002,ff002,ff002,ff002,ff002,ff002,ff003,ff102,ft020,tt020,tt120,tt220,tt220,tt220,ft020,ff201,ff002,ff003,ff001,ff001
ff003,ff003,ff003,ff003,ff003,ff003,ff003,ff020,ft020,tt020,tt220,ft020,ft020,ft020,ft020,ft201,ft201,ff002,ff003,ff002
ff002,ff002,ff002,ff002,ff002,ff002,ff003,ff011,tt010,tt110,tt210,ft020,ft030,ft030,ft030,ft020,ft020,ft020,ff011,ff003
ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff102,tt100,tt110,tt110,tt120,ft030,ft030,ft030,ft020,ft020,ft020,ft020,ft003
ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff102,tt100,tt100,tt110,tt110,tt030,tt130,tt130,tt130,ft020,ft020,ft020,ft003
ff001,ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff102,tt100,tt200,tt110,tt130,tt030,tt130,tt220,tt120,ft020,ff003,ff003
ff001,ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff102,ff101,tt200,tt200,ft030,ft030,tt120,tt220,tt120,tt120,ff003,ff003
ff001,ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff003,ff102,tt210,tt200,tt110,ft020,ft020,tt120,tt120,tt120,ff003,ff002
ff001,ff001,ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff003,ft220,tt200,tt110,ft020,ft020,tt120,tt120,ft020,ff003,ff002
ff001,ff001,ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff003,ft120,tt100,tt110,ft020,ft020,tt120,ft011,ff003,ff003,ff002
ff001,ff001,ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff003,ft220,tt100,tt110,ft020,ft020,ff020,ff003,ff002,ff001,ff001
ff001,ff001,ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff111,tt100,tt010,ft010,ft020,ft020,ff020,ff003,ff002,ff001,ff001
ff001,ff001,ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff111,tt100,tt010,ft020,ft020,ff020,ff003,ff002,ff001,ff001,ff001
ff001,ff001,ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff111,tt100,tt020,ft020,ff011,ff011,ff003,ff002,ff001,ff001,ff001
ff001,ff001,ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff111,tt010,tt010,ft020,ff201,ff003,ff002,ff001,ff001,ff001,ff001
ff001,ff001,ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff120,tt010,tt010,ff201,ff202,ff003,ff002,ff001,ff001,ff001,ff001
ff001,ff001,ff001,ff001,ff001,ff001,ff002,ff003,ff003,ff100,tt100,ff001,ff202,ff003,ff002,ff002,ff001,ff001,ff001,ff001
ff001,ff001,ff001,ff001,ff001,ff002,ff002,ff003,ff002,tt100,tt100,ff001,ff003,ff003,ff002,ff002,ff002,ff002,ff001,ff001
ff001,ff002,ff002,ff002,ff002,ff003,ff003,ff003,ff004,tt100,tt100,ff004,ff003,ff003,ff003,ff002,ff002,ff002,ff002,ff001
ff001,ff002,ff002,ff003,ff003,ff003,ff003,ff003,ff004,tt100,ff004,ff004,ff003,ff003,ff003,ff003,ff003,ff002,ff002,ff001
